"Region","Country ","Country Full Name","company","Sector Focus","Description","City","Website"
"Americas","SLV","El Salvador","IDB Invest → Banco Agrícola","SME & sustainable projects","Package includes $40M IDB, $10M Canadian climate fund, $100M private funds to boost sustainable SME loans. ","San Salvador","bancoagricola.com "
"Americas","SLV","El Salvador","IFC → BAC El Salvador","MSME, women-led, green financing","Strengthening SME portfolio with focus on women-led and green projects; includes technical advisory. ","San Salvador","bacelsalvador.com"
"Americas","SLV","El Salvador","OPEC Fund → BANDESAL","MSME support via subsidies & loans","Emergency relief fund supporting ~6,000 MSMEs via BANDESAL during pandemic. ","San Salvador"," "
"Americas","SLV","El Salvador","EIB → Banco de Desarrollo (BANDESAL)","SME & renewable energy investments","Support for renewable energy SMEs, photovoltaic, biogas, micro-hydro; up to 50% directed to SMEs. ","San Salvador","caf.com"
"Americas","SLV","El Salvador","MiBanco (Triodos Microfinance)","Microfinance / payroll-based lending","Triodos-backed loan to Mi Banco, supporting payroll deduction loans for microclients. ","","mibanco.com.sv  "
"Americas","SLV","El Salvador","Innogen Capital","Early-stage startups (tech, fintech...)","VC fund supporting Salvadoran startups across tech, healthcare, tourism, banking. ","San Salvador","innogencapital.com  "
"Americas","SLV","El Salvador","Angel & Accelerator Networks","Angel & accelerator support","Networks like Impact Hub, Delta Accelerator active in supporting Salvadoran startups. ","San Salvador","angelmatch.io (generic)"
"Americas","SLV","El Salvador","National Financial Inclusion Policy (NFIP)","Policy framework for MSE financial access","Government policy to broaden financial inclusion, SME finance, fintech digitization. ",""," "
"Americas","SLV","El Salvador","Central America Angel Fund Initiative (regional)","Pre-seed, fintech, B2B, healthtech","Regional angel fund initiative active in El Salvador. ","San Salvador"," "
"Africa","GNQ","Equatorial Guinea","Commercial Bank of Equatorial Guinea (CBGE)","SME banking, trade finance","Subsidiary of the regional Commercial Bank Group, providing loans and services to SMEs. ","Malabo"," "
"Africa","GNQ","Equatorial Guinea","BGFIBank Equatorial Guinea","Business, SME banking","Part of the BGFIBank Group offering corporate and SME banking. ","Malabo"," "
"Africa","GNQ","Equatorial Guinea","Banco Nacional de Guinea Ecuatorial (BANGE)","Government-owned banking","State-owned bank with the widest branch network, serving SMEs and individuals. ",""," "
"Africa","GNQ","Equatorial Guinea","CCEI Bank (Afriland First Bank Group)","Corporate & SME banking","Regional subsidiary active in SME and business financing. ","Malabo"," "
"Africa","GNQ","Equatorial Guinea","Ecobank Equatorial Guinea","SME & retail banking","Pan-African bank supporting retail and SME clients. ","Malabo"," "
"Africa","GNQ","Equatorial Guinea","Fund for Future Generations (Sovereign Wealth Fund)","Sovereign wealth, national development","Government SWF managing sovereign assets, potentially available for public-private projects. ","Malabo"," "
"Africa","GNQ","Equatorial Guinea","African Development Bank (with UNDP) – MSME Technical Aid","MSME support, economic diversification","Grant to enhance MSME capacity, local content, and inclusive development (women, youth).","Malabo","afdb.org"
"Africa","GNQ","Equatorial Guinea","Equatorial Guinea Investment Regime (law framework)","Investment promotion","Legal framework offering investment incentives to diversify economy beyond oil.",""," "
"Africa","GNQ","Equatorial Guinea","Port JV – Albayrak / State (Alport Guinea Ecuatorial)","Infrastructure, logistics, trade finance","JV managing ports of Bata & Malabo; may open channels for logistics-related SME activity.","Bata/Malabo"," "
"Africa","ERI","Eritrea","Commercial Bank of Eritrea","Retail & SME banking","State-owned bank with ~80% market share, retail branches  .",""," "
"Africa","ERI","Eritrea","Housing and Commerce Bank of Eritrea","Housing finance & SME lending","Established post-independence to support housing; now offers general SME lending.","","erhcb.com"
"Africa","ERI","Eritrea","Eritrean Investment and Development Bank","Agri & SME credit","State-owned bank providing agricultural and commercial loans.",""," "
"Africa","ERI","Eritrea","Savings and Micro Credit Program (SMCP)","Microfinance","Government-run microfinance program offering group-based lending to vulnerable populations, especially women.",""," "
"Africa","ERI","Eritrea","Southern Zone Saving & Credit Scheme (SZSCS)","Microfinance","Regional microfinance group-lending initiative focused in southern Eritrea.","Southern Zone"," "
"Africa","ERI","Eritrea","Bank of Eritrea (Central Bank)","Regulatory / Policy","Central bank overseeing monetary and policy regulation; promotes investment, though private options are limited.","Asmara","boe.gov.er"
"Europe","EST","Estonia","Tera Ventures","Early-stage tech (Fintech, HRTech, Auto)","Tallinn-based VC investing across Europe, supporting startups with global expansion.","Tallinn","tera.vc"
"Europe","EST","Estonia","Startup Wise Guys","B2B, Fintech, SaaS, AI, Privacy","Leading B2B startup accelerator active in Tallinn since 2012.","Tallinn","startupwiseguys.com"
"Europe","EST","Estonia","Change Ventures","Tech startups","Early-stage VC based in Estonia investing across the Baltics.","Tallinn","changeventures.com"
"Europe","EST","Estonia","Karma Ventures","Deep tech, cybersecurity, health tech","Early-stage VC supporting growth-oriented tech startups.","Tallinn","karma.vc"
"Europe","EST","Estonia","Lemonade Stand","Biotech, AI, Real Estate, Fintech","Family investment office backing Baltic and Eastern European founders.","Tallinn","lemonade stand.ee"
"Europe","EST","Estonia","Spring Capital","Tech, security, mobility, entertainment","VC firm managing Seed and Growth funds; investing across CEE and Nordics.","Tallinn","springcapital.ee"
"Europe","EST","Estonia","Superangel","Developer tools, cloud, fintech","Early-stage tech and healthcare-focused VC across Baltics and Nordics.","Tallinn","superangel.com"
"Europe","EST","Estonia","SmartCap (via EstFund)","Climate tech, energy, agritech","VC fund under Estonian Business & Innovation Agency (via EstFund).","Tallinn","smartcap.ee"
"Europe","EST","Estonia","Specialist VC","Diverse tech sectors","VC supporting founders across Baltics, Finland, Ukraine, Belarus.","Tallinn","specialist.vc"
"Europe","EST","Estonia","Practica Capital","Early-stage tech","VC firm fostering Estonian innovation.","Tallinn","practicacapital.com  "
"Europe","EST","Estonia","Trind Ventures","Consumer & community component startups","Seed-stage VC based in Tallinn.","Tallinn","trind.vc"
"Europe","EST","Estonia","EstBAN (Estonian Business Angels Assoc.)","Pre-seed to Seed","Widely connected angel network; ranked high in investment-to-GDP ratio.","","estban.ee"
"Europe","EST","Estonia","Funderbeam (Equity crowdfunding)","Equity crowdfunding, neobroker","Estonia’s licensed secondary-market crowdfunding platform; raised €20M for Change.","Tallinn","funderbeam.com"
"Europe","EST","Estonia","Hooandja (Crowdfunding)","Creative & social projects","Estonia’s largest crowdfunding platform for creative campaigns (2,000+ campaigns funded).","Tartu/Tallinn","hooandja.com"
"Europe","EST","Estonia","Bondora / others (Crowdfunding platforms)","P2P lending, real estate, SME loans","Estonia hosts 20+ platforms Bondora, EstateGuru, Moncera, etc. covering P2P, real estate, and consumer loans.",""," "
"Europe","EST","Estonia","Enterprise Estonia (EAS)","SME & microfinance","National development foundation promoting SMEs; manages InvestEU SME support.","","eas.ee"
"Europe","EST","Estonia","Plural fund & Defence fund","Defence tech","Major private and public investments in defence startups via Plural platform and new government fund.","Tallinn"," "
"Europe","EST","Estonia","KredEx (via Papermark list)","SME financial support","Development agency providing guarantees, grants, and SME financing.","","kredex.ee  "
"Africa","SWZ","Eswatini","Eswatini Bank (Development & Savings Bank)","Development banking, SME finance","State-owned bank; the only indigenous commercial bank offering development and SME support. ","","(swazibank.co.sz)"
"Africa","SWZ","Eswatini","Central Bank of Eswatini – Development Finance","Loan guarantees, export & SME","Administers Export Credit Guarantee Scheme (up to E3.3M, 90% cover) and Small Scale Enterprise Loan Guarantee Scheme (up to E1M, high cover). ","","centralbank.org.sz"
"Africa","SWZ","Eswatini","Microfinance Institutions & SACCOs","Microfinance, SME, rural credit","Includes Amandla FS, SEDCO, SACCOs assets grew to ~E1.5B. Informal Traders Revolving Fund (E4M) and MSME Revolving Fund (E45M) serve targeted groups",""," "
"Africa","SWZ","Eswatini","SEDCO (Small Enterprises Development Co.)","Incubation, entrepreneurship","Offers business training, venture incubation, mentoring, and affordable office space to local SMEs","","investeswatini.org.sz"
"Africa","SWZ","Eswatini","Tibiyo Taka Ngwane (Sovereign Investment Fund)","Investment in agriculture, property, finance","Royal wealth fund with stakes across key sectors, including finance, agriculture, hospitality. ","Kwaluseni","tibiyo.com"
"Africa","SWZ","Eswatini","FINCLUDE (Gender-Inclusive Finance Project)","Women-focused SME finance","Facilitates women smallholder farmer clusters, non-collateral loans, infrastructure, skills through national financial inclusion strategy",""," "
"Africa","SWZ","Eswatini","UNCDF / Inclusion Strategy","Financial inclusion & digital finance","Part of national financial inclusion, emphasizing mobile money, access for rural and MSME populations. ","","uncdf.org"
"Africa","SWZ","Eswatini","Bracefield Investment Group / Ibhuma Events","Startup networking, capital access","Hosts Ibhuma Business Dinners to connect Eswatini startups with regional capital providers via cross-border partnerships","Mbabane / Johannesburg"," "
"Africa","SWZ","Eswatini","Young Heroes NGO → WORTH program","Women community micro-entrepreneurship","Group savings and micro-enterprise training for women caring for orphans; supported 2,600 women who saved collectively. ","Hhohho  ","youngheroes.org.sz"
"Africa","ETH","Ethiopia","Dashen Bank","SME & digital banking","Private bank with   footprint; launched “SuperApp” and joined SME Finance Forum. ","Addis Ababa","dashenbanksc.com"
"Africa","ETH","Ethiopia","EthSwitch","National payment interoperability","Shared infrastructure for POS, ATM, QR payments; aims to enhance e-payments and inclusion. ","","ethswitch.com"
"Africa","ETH","Ethiopia","Kifiya, Chapa, CashGo, E-Birr, DubeAle","Fintech payments & services","Among ~46 fintech startups progressing in Ethiopia’s digital finance space. ","Addis Ababa"," "
"Africa","ETH","Ethiopia","ArifPay Financial Technologies S.C.","POS and payment gateways","Licensed by the central bank; offers POS terminals, payment gateway, QR code and utility payment integration. ","Addis Ababa"," "
"Africa","ETH","Ethiopia","Telebirr (Ethio Telecom)","Mobile money (telecom-backed)","State telecom’s mobile payment platform accessible via SMS/USSD/app in multiple languages. ",""," "
"Africa","ETH","Ethiopia","Afriwork (HR-tech & freelance platform)","Freelance job marketplace & HR tools","Connects 50k+ SMEs and 300k jobseekers via web/mobile/Telegram; self-funded and break-even. ","Addis Ababa","afriworket.com"
"Africa","ETH","Ethiopia","Startups receiving VC (e.g., Chapa, ArifPay, etc.)","Tech (incl. fintech)","Ethiopian ecosystem valued at ~$300M; 85 startups raised collective ~$95M in VC to date. ",""," "
"Africa","ETH","Ethiopia","Renew Capital, Finnfund, IFC VC, Norfund, etc.","Impact / Growth VC","Multiple international funds including Renew Capital & Finnfund have made early-stage investments in Ethiopia. ","Global"," "
"Africa","ETH","Ethiopia","Entrepreneurship Development Institute (EDI)","Access to finance & market linkage","Government-affiliated institution offering SME training and finance support. ","Addis Ababa","edi-ethiopia.org"
"Africa","ETH","Ethiopia","Supply Chain & Cluster Finance Initiatives","Cluster & supply chain financing","Handbook suggests cluster-based and supply chain financing models to improve SME credit access. ",""," "
"Oceania","FJI","Fiji","Fiji Development Bank (FDB)","Agriculture, MSMEs, eco-tourism, SMEs","State-owned development bank offering working capital, syndicated loans, and sector-targeted funds like SCARF for eco-tourism, forestry, fishing. ","","fijidevelopmentbank.com  "
"Oceania","FJI","Fiji","Export Credit & SME Credit Guarantee Scheme","SME lending risk mitigation","Government-backed guarantee scheme administered by the Reserve Bank to boost bank lending to SMEs. ","","rbf.gov.fj"
"Oceania","FJI","Fiji","Team Europe – FDB Loan Guarantee","MSME financing","EU-backed guarantee facility to support MSME lending via the Fiji Development Bank",""," "
"Oceania","FJI","Fiji","Reserve Bank of Fiji (RBF)","Payment services, Development Banking","Central bank regulating the financial system, supervising institutions, and promoting financial inclusion. ","Suva","rbf.gov.fj"
"Oceania","FJI","Fiji","PSDI – Access to Business Funding Act","Crowdfunding, P2P, small offers","Legislative reform enabling innovative financing for MSMEs, including crowdfunding and peer-to-peer lending via new Act",""," "
"Oceania","FJI","Fiji","South Pacific Business Development (SPBD Fiji)","Microfinance to underserved SMEs","Non-bank financial institution providing microfinance targeting women, including SME and education loans. ",""," "
"Oceania","FJI","Fiji","Business Assistance Fiji (BAF)","Advisory support to SMEs","Network offering SME access to business advisory services via registered providers. ","","businessassistancefiji.com"
"Oceania","FJI","Fiji","Pacific Private Sector Development Initiative (PSDI)","Policy & innovation support","Supports access to finance reforms and alternative financing frameworks for SMEs. ",""," "
"Oceania","FJI","Fiji","Tech Innovation Fund (government-backed)","Tech startups (fintech, agri, AI)","Government fund supporting tech innovation; fuels startups like Solantis Innovations, Pacific AI Solutions, etc",""," "
"Europe","FIN","Finland","Business Finland & Business Finland Venture Capital Ltd","Innovation, startups, export sectors","Public agency offering grants, innovation funding (e.g., Young Innovative Company), and VC support via its investment arm.","Helsinki","businessfinland.fi"
"Europe","FIN","Finland","Sitra (Finnish Innovation Fund)","Impact investing, future economy","Independent public foundation investing for sustainability, foresight economy, and impact ventures. ","Helsinki","sitra.fi"
"Europe","FIN","Finland","Finnvera","SME loans, export guarantees","State-owned export credit agency providing loans and guarantees to SMEs and startups. ","Kuopio","finnvera.fi  "
"Europe","FIN","Finland","ELY Centres (Centres for Economic Development…)","SME advisory, regional development","Regional government centers offering grants, advisory support, and export/internationalisation aid. ","","ely-keskus.fi"
"Europe","FIN","Finland","Sitra","ESG, impact & foresight investment","As above – operates independently to fund societal and economic transformation. ","Helsinki","sitra.fi"
"Europe","FIN","Finland","Lifeline Ventures","Tech, health, games, deep tech","Leading early-stage VC supporting pre-seed to Series A Finnish innovators. ","Helsinki","lifelineventures.com  "
"Europe","FIN","Finland","Inventure","Tech, SaaS, gaming, deep tech","One of the most active early‒stage VC firms in Finland.","Helsinki","inventurecapital.com  "
"Europe","FIN","Finland","Icebreaker.vc","AI, software, deep tech","Early-stage VC investing in cutting-edge Finnish startups. ","Helsinki","icebreaker.vc"
"Europe","FIN","Finland","Maki.vc","Deep tech, SaaS, AI","Seed-stage VC focusing on scientific innovations and brand-building. ","Helsinki","maki.vc"
"Europe","FIN","Finland","Gorilla Capital","Resilient early-stage startups","VC investing in durable “camel” startups across Nordics and Baltics. ","Helsinki","gorillacapital.com  "
"Europe","FIN","Finland","Voima Ventures","Deep tech, science-based ventures","Emerging VC investing in high-risk, high-reward innovations","Helsinki","voima.vc  "
"Europe","FIN","Finland","Alliance Venture, Butterfly Ventures, OpenOcean, Innovestor, Tesi, Verdane, etc.","Fintech, healthcare, electronics, climate, series funding","Widely active VC and PE firms covering diverse sectors and stages","Helsinki &  ","respective sites"
"Europe","FIN","Finland","CapMan","Mid-cap PE, real estate, infrastructure","Finnish PE fund manager active in private equity, real estate, infrastructure across Nordic region. ","Helsinki","capman.com"
"Europe","FIN","Finland","Nefco (Nordic Green Bank)","Green investments across sectors","International finance institution headquartered in Helsinki, funding climate, waste, water, urban projects. ","Helsinki","nefco.int"
"Europe","FRA","France","Eurozeo","Private equity, growth, venture, real assets","Major diversified investment group managing a portfolio of 600+ companies; broad sector coverage.","Paris","eurazeo.com/en"
"Europe","FRA","France","PAI Partners","Buyout, mid‑market PE","One of France’s oldest and largest PE firms with multi-billion‑euro fund deployment history.","Paris","paipartners.com"
"Europe","FRA","France","InfraVia Capital Partners","Infrastructure & tech growth","PE fund investing in infrastructure and tech growth firms across Europe.","Paris","infraviacapital.com"
"Europe","FRA","France","Cathay Innovation","Series A–Late-stage AI (fintech, digital health, energy, mobility)","Paris-headquartered VC raised largest AI fund to date, backed by major corporates.","Paris","cathay‑innovation.com  "
"Europe","FRA","France","Daphni","Early‑stage tech (impact‑driven)","B Corp‑certified VC backing European startups across SaaS, fintech, biotech.","Paris","daphni.com"
"Europe","FRA","France","Aster","Energy, greentech, IoT, industry","Multi‑corporate corporate VC originally backed by Schneider, Alstom, focusing on smart technologies.","Paris","aster.fr  "
"Europe","FRA","France","Karista","Healthtech, digital, deep tech","Early‑stage VC established in 2001 supporting game‑changing technologies.","Paris","karista.vc"
"Europe","FRA","France","Ventech","Digital economy: SaaS, fintech, medtech","Global early‑stage VC headquartered in Paris with broad international reach.","Paris","ventech.com  "
"Europe","FRA","France","Alven Capital","B2B digital, SaaS, AI","Early‑stage VC backing high‑growth tech startups like Dataiku and Qonto.","Paris","alven.co  "
"Europe","FRA","France","Partech","Multistage: tech, fintech","Global investor supporting startups from seed to expansion across diverse sectors.","Paris","partech.co"
"Europe","FRA","France","Newfund","Tech, consumer, healthcare","Early‑stage VC supporting startups like Aircall and HomeExchange.","Paris","newfund.com  "
"Europe","FRA","France","Angelsquare","Tech, fintech, healthtech","Angel network investing in early‑stage startups across France and Europe.","Paris","angelsquare.co  "
"Europe","FRA","France","CAPZA","Small‑& mid‑cap companies","Private investment platform focused on growing mid-sized firms across Europe.","Paris","capza.co"
"Europe","FRA","France","Connect Pro","SME buyouts, family-owned companies","Private equity firm based in Marseille focusing on small and medium-sized family businesses","Marseille"," "
"Europe","FRA","France","Turenne Group (Région Sud)","Growth & buyout capital in South France","Regional fund investing in SMEs; backed over €97 M into 99 companies across the region","Marseille","turennecapital.com"
"Europe","FRA","France","Société Marseillaise de Crédit (SMC)","SME retail banking","Historic Marseille-based regional bank offering commercial and SME banking products. ","Marseille","smc.fr"
"Europe","FRA","France","Agence Française de Développement (AFD) ","SME management & development training","AFD’s training institute (CEFEB) is headquartered in Marseille, offering SME management and project valuation training. ","Marseille","afd.fr / cefeb.org"
"Europe","FRA","France","Société Générale Entrepreneurs (Marseille)","SME support across banking services","Local branch of Société Générale offering an integrated “entrepreneurs” service dedicated to SMEs","Marseille","societegenerale.com"
"Europe","FRA","France","Axeleo Capital","Digital & green transformation, pre‑seed/seed","European VC backed by entrepreneurs; headquartered in Lyon","Lyon","axc.vc"
"Europe","FRA","France","Hi Inov (Dentressangle VC)","B2B deep-tech; Series A/B","VC with HQ in Lyon, focused on digital, AI, data, mobility, SaaS","Lyon","hiinov.com"
"Europe","FRA","France","Mérieux Development (formerly Mérieux Equity Partners)","Healthcare & nutrition","VC specialized in early-stage healthcare/nutrition tech. HQ in Lyon","Lyon","merieux-partners.com"
"Europe","FRA","France","HUB612","Accelerator / VC","Regional accelerator and VC based in Lyon","Lyon","hub612.com"
"Europe","FRA","France","Holnest","Venture Capital","VC firm headquartered in Lyon","Lyon","holnest.fr"
"Europe","FRA","France","Veymont Participations","Venture Capital","Consulting and VC found in Lyon","Lyon","veymont.fr"
"Europe","FRA","France","Agicap","Fintech SaaS for SME cashflow","Lyon-based fintech managing treasury for SMEs; raised €2.4M, €15M, then €82M. ","Lyon","agicap.com"
"Europe","FRA","France","Wavo","Inventory financing for SMEs (fintech)","Lyon-based fintech offering zero-debt inventory finance; funded by Clint Capital, Kima, HUB612","Lyon"," "
"Europe","FRA","France","Time for the Planet (TFTP)","Citizen-impact funding","Lyon-based citizen-led climate fund investing in climate solutions, non-profit design. ","Lyon"," "
"Africa","GAB","Gabon","Société de Garantie du Gabon (SGG)","Credit guarantees for SMEs/PMI","National guarantee company (FGIS/Okoumé initiative); counter-guarantee line with African Guarantee Fund to boost SME, women & green lending.","Libreville",""
"Africa","GAB","Gabon","FGIS – Fonds Gabonais d’Investissements Stratégiques (SWF)","Sovereign/strategic investments; SME programs via subsidiaries","Gabon’s sovereign wealth/strategic investment manager; oversees SME financing pillars and state assets.","Libreville","fgis-gabon.com"
"Africa","GAB","Gabon","BGFIBank Gabon","Commercial & corporate banking; SME lending","Largest bank in market share; runs SME finance with partners/guarantees.","Libreville","bgfibankgabon.bgfi.com"
"Africa","GAB","Gabon","BICIG (Banque Internationale pour le Commerce et l’Industrie du Gabon)","SME & corporate banking","Partnered with SGG for additional SME credit guarantees.","Libreville","bicigabon.com"
"Africa","GAB","Gabon","Union Gabonaise de Banque (UGB – Attijariwafa group)","SME banking","Universal bank; additional SME lines announced with partners.","Libreville","ugb-banque.com"
"Africa","GAB","Gabon","Cofina Gabon","“Méso-finance” for SMEs","SME-focused non-bank lender expanding SME credit lines.","Libreville","groupecofina.com"
"Africa","GAB","Gabon","FINAM (Financière Africaine de Micro-projets)","Microfinance (SME/micro)","Leading microfinance institution;   SME/micro-enterprise products.","Libreville","finamgabon.com"
"Africa","GAB","Gabon","GSEZ / ARISE IIP (Zone Économique Spéciale de Nkok)","Industrial platform; SME clusters","PPP industrial zone enabling manufacturing/wood cluster; facilitates investor/SME setup.","Libreville / Nkok","ariseiip.com/project/gsez"
"Africa","GAB","Gabon","ANPI-Gabon (Investment Promotion Agency)","Business formalization; PPP unit","One-stop agency for company creation, permits & PPP support.","Libreville","investingabon.ga"
"Africa","GMB","Gambia","Access Bank Gambia (subsidiary of Access Bank Group)","SME, trade finance","Commercial bank providing retail & business banking with regional backing from Access Bank Group","Banjul","accessbank.gm  "
"Africa","GMB","Gambia","Ecobank Gambia (part of Ecobank Group)","SME lending","Pan-African bank supported by African Guarantee Fund for 50% coverage in SME, gender & green lending","Banjul","ecobank.gm  "
"Africa","GMB","Gambia","UNCDF–CBG Credit Guarantee Scheme","SME/agriculture/tourism lending guarantees","UNCDF-supported scheme to incentivize MFIs to lend to SMEs in agriculture & tourism","Banjul"," "
"Africa","GMB","Gambia","GAMIRSAL (AfDB + GoG insurance fund)","Agricultural lending risk-sharing","Proposed AfDB-Gambia government risk-sharing mechanism to support agricultural SME finance","Banjul"," "
"Africa","GMB","Gambia","Vista Bank / Vista Group Holding","SME, women-led, youth, green lending","AGF is guaranteeing Vista Bank's SME lending in Gambia as part of a regional SME support partnership","Banjul","vistabank.gm  "
"Africa","GMB","Gambia","Teranga Capital","Impact investing, SME equity","Pan-African impact fund investing in Gambian SMEs with tailored support","Banjul","terangacapital.com/en"
"Africa","GMB","Gambia","Gambia Investment and Export Promotion Agency (GIEPA)","Investment facilitation, MSMEs support","National agency delivering MSME support, registration, exports, and incubation (e.g., Empretec program)","Banjul","investment@giepa.gm?  "
"Africa","GMB","Gambia","African Solidarity Fund (ASF)","SMEs, infrastructure, industrial financing","Multilateral fund offering guarantees & refinancing in member states, including Gambia. "," ","fondsolidariteafricain.org"
"Africa","GMB","Gambia","Banks (e.g. GTBank, BJIC, etc.)","SME/corporate banking","Multiple local subsidiaries of international banks serving SME sector. ","Banjul"," "
"Asia","GEO","Georgia","Bank of Georgia","SME finance, green investments","Major Georgian bank with IFI-backed SME and environmental loans. Half of EIB loan goes toward green investments","Tbilisi","bankofgeorgia.ge"
"Asia","GEO","Georgia","TBC Bank","SME, climate finance","Georgia’s largest bank receives IFC funds to boost SME & climate-friendly lending, targeting energy-efficient SMEs. ","Tbilisi","tbcbank.ge"
"Asia","GEO","Georgia","Isbank Georgia (Türkiye İş Bank subsidiary)","SME lending, ALM support","IFC invested $10M to scale SME lending and improve asset-liability management. ","Tbilisi","isbank.ge"
"Asia","GEO","Georgia","BASIS Bank (with BSTDB)","SME finance","BSTDB financed BASIS Bank with a $15M facility to support SMEs","Tbilisi","basisbank.ge  "
"Asia","GEO","Georgia","TBC Bank (with OeEB/FMO)","Private sector strengthening","OeEB, via FMO, provided $20M to bolster the private sector capital base","Tbilisi","tbcbank.ge"
"Asia","GEO","Georgia","Georgian Co-Investment Fund (GCF)","Infrastructure, agriculture, manufacturing","Large domestic PE fund investing across key sectors. Tsotne Ebralidze is CEO. ","Tbilisi","gcfund.ge"
"Asia","GEO","Georgia","EU4Business (EU support)","SME finance, training, clusters","EU financed concessionary loans, microfinance, and business services across 39,000+ SMEs","","eu4business.eu"
"Asia","GEO","Georgia","Georgian Venture Capital Program (Invest Georgia)","Seed & early-stage tech","State-backed fund-of-funds investing in VC funds targeting Georgian startups","Tbilisi","dca.georgia.gov"
"Africa","GHA","Ghana","Development Bank Ghana (DBG)","SME wholesale lending / ESG pose support","Government-owned bank providing long-term funding to commercial banks for SME on-lending; emphasis on ESG","Accra","dbg.com.gh"
"Africa","GHA","Ghana","IFC + Access Bank – SME Risk Sharing Facility","SME, agri, health, education, green lending","IFC provides partial credit guarantees to de-risk SME lending; 25% aimed at women-owned businesses. ","Accra","accessbankghana.com"
"Africa","GHA","Ghana","African Guarantee Fund + Zenith Bank Ghana","MSMEs, women-led, sustainability","AGF provides partial guarantees and capacity development tools to Zenith to expand SME lending","Accra","zenithbank.com.gh"
"Africa","GHA","Ghana","DBG – Partial Credit Guarantee Scheme (PCG)","SME lending guarantees","DBG is setting up a guarantee subsidiary to back SMEs","Accra","dbg.com.gh"
"Africa","GHA","Ghana","Ci-Gaba Fund-of-Funds (Savannah Impact Advisory)","SME, VC funds, inclusive growth","Government-supported blended finance vehicle mobilizing pension and impact capital for SMEs and VC funds","Accra","impactinvestinggh.org"
"Africa","GHA","Ghana","Venture Capital Trust Fund (VCTF)","SME-focused venture financing","State-backed fund boosting risk capital availability via local fund managers","Accra","vctf.com.gh"
"Africa","GHA","Ghana","Oasis Capital","Education, housing, fintech, health","Ghanaian VC targeting early-stage growth sectors","Accra","oasiscapital.com"
"Africa","GHA","Ghana","Industrial Support Fund (ISF Ghana)","Agro-processing, manufacturing","Closed-end VC fund supporting growth and expansion in manufacturing and agri-processing","Accra","–"
"Africa","GHA","Ghana","JCS Investment Ltd.","Rural, agri, gender lens, renewables","Impact investor backing inclusive ventures in rural/agri sectors","Accra","–"
"Africa","GHA","Ghana","Chanzo Capital","Tech (fintech, e-commerce, EdTech, etc.)","Early-stage tech VC active across West Africa","Accra","chanzo.capital"
"Africa","GHA","Ghana","MEST Africa (Meltwater Entrepreneurial School of Tech)","Software, AgriTech","Incubator and seed fund supporting early-stage tech entrepreneurs across Africa. ","Accra","meltwater.org"
"Africa","GHA","Ghana","AABN (African Aurora Business Network)","MSE advisory, capacity building","Enterprise development NGO offering advisory and support to micro and small enterprises. ","Accra","–"
"Europe","GRC","Greece","Hellenic Development Bank of Investments (HDBI, ex‑TANEO)","VC/PE funds, startups, green investments","Sovereign fund-of-funds supporting venture capital and SME financing; key National Recovery & Resilience tool","Athens","hdbi.gr"
"Europe","GRC","Greece","EquiFund","Equity for SMEs","ESIF-backed fund-of-funds offering nine equity instruments to support Greek SMEs’ growth and innovation",""," "
"Europe","GRC","Greece","European Investment Fund (EIF) – Loan Guarantee Scheme","Loan guarantees","Provides risk-sharing guarantees to banks for SME lending across Greece",""," "
"Europe","GRC","Greece","Greek Guarantee Fund (GGF) – EIB-supported","Mid-cap SME lending","Completed EIB-Greek government initiative to boost lending to mid-sized businesses",""," "
"Europe","GRC","Greece","Loan Facility via Recovery & Resilience Plan (RRP)","Corporate & SME lending support","EU-funded facility offering loans, equity, and guarantees to SMEs via IFIs and banks",""," "
"Europe","GRC","Greece","Piraeus Bank","Banking, SME finance","Largest market lender, part of systemic bank guarantee programs. ","Athens","piraeusholdings.gr"
"Europe","GRC","Greece","Alpha Bank","Banking","Major systemic bank participating in EIB guarantee schemes. ","Athens","alphaholdings.gr"
"Europe","GRC","Greece","Eurobank Ergasias","Banking","Another key systemic bank in SME credit guarantee alliances. ","Athens","eurobankholdings.gr"
"Europe","GRC","Greece","Attica Bank","SME banking","Medium-size bank with strong SME focus. ","Athens","atticabank.gr"
"Europe","GRC","Greece","EIF investments in Marathon VC III","Early-stage tech startups","EIF backing Greek early-stage ventures via Marathon VC III","Athens"," "
"Americas","GRD","Grenada","Grenada Development Bank (GDB)","SME loans, youth enterprises, creativeIndustry","Government-backed bank offering concessionary financing (loans up to EC$40K), special funds for youth, COVID relief, tourism, agriculture.","St. George's","grenadadevelopmentbank.com"
"Americas","GRD","Grenada","Grenada Co-operative Bank Ltd.","Micro, small and medium enterprises","Historic indigenous bank that launched a dedicated MSME unit offering tailored financing, business development services, and relationship managers","St. George's","grenadaco-opbank.com"
"Americas","GRD","Grenada","Republic Bank (Grenada)","SME banking, trade finance, startup funding","Regional bank offering SME loans (startup, expansion, working capital), trade finance, business advisory tools (SME Toolkit)","St. George's","republicgrenada.com"
"Americas","GRD","Grenada","Caribbean Development Bank (via GDB)","MSME, renewable energy, capacity building","CDB provided credit lines via GDB for SMEs, housing, human resource development, plus pilot programs in energy efficiency and COVID recovery","St. George's","caribank.org"
